X,Y,U,Pb,Mo
-62.78410304,50.54834183,1.4,4.73,1.06
-62.28100363,50.6027643,1.6,6.15,0.72
-62.93843713,50.50113131,1.8,3.08,0.92
-62.82083564,50.55038264,7.1,4.44,0.64
-62.35076334,50.57644603,1.2,5.05,1.15
-62.4927488,50.35596738,1.6,3.95,0.53
-62.56732237,50.55692927,2.2,3.74,1.41
-62.72407655,50.50186383,2.3,6.96,0.78
-62.51029035,50.29056908,0.7,5.27,0.18
-62.68686357,50.59578486,2.6,2.7,0.74
-62.31456768,50.49841028,0.5,3.17,0.41
-62.68068088,50.44441133,2.2,6.35,1.11
-62.03236233,50.64632671,2.9,9.76,1.18
-62.90856254,50.53534898,1.5,2.87,1.21
-62.30335054,50.58036297,1.6,5.79,1.42
-62.82083564,50.55038264,7.1,4.44,0.64
-62.58338922,50.53754445,3.5,4.06,0.95
-62.77904708,50.57312658,1.2,13.52,0.69
-62.09365923,50.4300779,36.7,5.24,3.65
-62.39981665,50.32341771,1.7,7.17,0.44
-62.95473481,50.45949978,6.1,7.92,2.9
-62.33551481,50.52290378,1.3,5.59,1.55
-62.47416839,50.67684753,3.6,6.02,2.44
-62.47416839,50.67684753,3.6,6.02,2.44
-62.38483682,50.6354106,1.7,4.8,0.46
-62.43458223,50.54357202,3.7,5.49,1.26
-62.66424983,50.397959,3.2,10.19,2.28
-62.48684405,50.42249348,0.9,8.44,0.5
-62.85543548,50.68298902,1.7,2.0,0.38
-62.58338922,50.53754445,3.5,4.06,0.95
-62.03443581,50.39218791,5.6,5.22,1.72
-62.30936862,50.33163951,3.2,9.25,0.4
-62.45468829,50.41542224,2.1,8.48,1.89
-62.91879335,50.70742133,18.5,3.88,2.52
-62.92214639,50.57252772,1.6,4.9,0.99
-62.93104595,50.37683877,5.9,6.42,1.99
-62.00781511,50.52902622,0.05,4.91,0.2
-62.40397529,50.65394601,0.8,4.8,0.45
-62.1784337,50.56740785,2.4,3.33,0.4
-62.35076334,50.57644603,1.2,5.05,1.15
-62.67847216,50.37542555,2.5,11.82,2.54
-62.1379063,50.64481709,4.3,7.75,0.95
-62.62913787,50.31772,2.4,12.14,1.58
-62.29641234,50.47716742,2.3,9.71,1.48
-62.07423987,50.74649146,7.7,9.73,0.91
-62.09150702,50.48366271,15.4,7.5,1.97
-62.07140458,50.71067616,5.2,4.4,0.72
-62.6400681,50.71066208,2.1,3.23,0.7
-62.94029137,50.40598265,7.2,5.79,2.06
-62.14415433,50.7445974,3.1,7.46,1.36
-62.54000699,50.64520051,2.6,4.23,1.5
-62.82312288,50.61810457,5.1,3.87,1.86
-62.49142723,50.60552769,3.1,6.47,0.56
-62.75414756,50.58715099,0.9,1.85,0.19
-62.56051125,50.50904155,2.4,5.47,1.35
-62.35082908,50.74305331,3.3,16.37,2.89
-62.02498061,50.47655915,7.2,7.28,0.91
-62.62183204,50.52301661,3.7,3.77,1.97
-62.21164206,50.28523992,0.1,3.0,5.0
-62.67709736,50.51566462,5.2,3.45,1.16
